layer_index,name,args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_idx,avg_mem_grp_size,min_comm_grp_id,min_comm_grp_sum,min_comm_grp_last_weight,compute_density_ops
37,layer2_0_conv1,"(layer1_2_relu_2,)",576000,81920,32768,0,0,0,call_module,layer2.0.conv1,Conv2d,"[10, 256, 15, 15]","[10, 128, 8, 8]","{'weight': torch.Size([128, 256, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,20971520.0
38,layer2_0_bn1,"(layer2_0_conv1,)",81920,81920,256,0,0,0,call_module,layer2.0.bn1,BatchNorm2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128]), 'bias': torch.Size([128])}",{},[4],FWD,1,3211200,0,3210688,40960,1475584.0
39,layer2_0_relu,"(layer2_0_bn1,)",81920,81920,0,0,0,0,call_module,layer2.0.relu,ReLU,"[10, 128, 8, 8]","[10, 128, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,327680.0
40,layer2_0_conv2,"(layer2_0_relu,)",81920,81920,147456,0,0,0,call_module,layer2.0.conv2,Conv2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128, 128, 3, 3])}",{},[4],FWD,1,3211200,0,3210688,40960,94371840.0
41,layer2_0_bn2,"(layer2_0_conv2,)",81920,81920,256,0,0,0,call_module,layer2.0.bn2,BatchNorm2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128]), 'bias': torch.Size([128])}",{},[4],FWD,1,3211200,0,3210688,40960,1475584.0
42,layer2_0_relu_1,"(layer2_0_bn2,)",81920,81920,0,0,0,0,call_module,layer2.0.relu,ReLU,"[10, 128, 8, 8]","[10, 128, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,327680.0
43,layer2_0_conv3,"(layer2_0_relu_1,)",81920,327680,65536,0,0,0,call_module,layer2.0.conv3,Conv2d,"[10, 128, 8, 8]","[10, 512, 8, 8]","{'weight': torch.Size([512, 128, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,41943040.0
44,layer2_0_bn3,"(layer2_0_conv3,)",327680,327680,1024,0,0,0,call_module,layer2.0.bn3,BatchNorm2d,"[10, 512, 8, 8]","[10, 512, 8, 8]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,1,3211200,0,3210688,40960,5902336.0
45,layer2_0_downsample_0,"(layer1_2_relu_2,)",576000,327680,131072,0,0,0,call_module,layer2.0.downsample.0,Conv2d,"[10, 256, 15, 15]","[10, 512, 8, 8]","{'weight': torch.Size([512, 256, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,83886080.0
46,layer2_0_downsample_1,"(layer2_0_downsample_0,)",327680,327680,1024,0,0,0,call_module,layer2.0.downsample.1,BatchNorm2d,"[10, 512, 8, 8]","[10, 512, 8, 8]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,1,3211200,0,3210688,40960,5902336.0
47,add_3,"(layer2_0_bn3, layer2_0_downsample_1)",327680,327680,0,0,0,0,call_function,<built-in function add>,,"[10, 512, 8, 8]","[10, 512, 8, 8]",0,{},[4],FWD,1,3211200,0,3210688,40960,327680.0
