global_index,avg_mem_grp_idx,layer_index,name,args,dp_args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_size,compute_density_ops
46,3,130,layer3_5_conv1_0_0_bkwd,"('layer3_5_bn1_0_0_bkwd',)",[],40960,163840,262144,0,0,0,call_module,layer3.5.conv1,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([256, 1024, 1, 1])}",{},[4],BKWD,2497024,83886080.0
47,3,129,layer3_4_relu_2_0_0_bkwd,"('layer3_5_conv1_0_0_bkwd', 'add_12_0_0_bkwd')",[],163840,163840,0,0,0,0,call_module,layer3.4.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],BKWD,2497024,655360.0
48,3,128,add_11_0_0_bkwd,"('layer3_4_relu_2_0_0_bkwd',)",[],163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],BKWD,2497024,163840.0
49,3,127,layer3_4_bn3_0_0_bkwd,"('add_11_0_0_bkwd',)",[],163840,163840,2048,0,0,0,call_module,layer3.4.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],BKWD,2497024,5914624.0
50,3,126,layer3_4_conv3_0_0_bkwd,"('layer3_4_bn3_0_0_bkwd',)",[],163840,40960,262144,0,0,0,call_module,layer3.4.conv3,Conv2d,"[10, 1024, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],BKWD,2497024,83886080.0
51,3,125,layer3_4_relu_1_0_0_bkwd,"('layer3_4_conv3_0_0_bkwd',)",[],40960,40960,0,0,0,0,call_module,layer3.4.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],BKWD,2497024,163840.0
52,3,124,layer3_4_bn2_0_0_bkwd,"('layer3_4_relu_1_0_0_bkwd',)",[],40960,40960,512,0,0,0,call_module,layer3.4.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],BKWD,2497024,1478656.0
53,3,123,layer3_4_conv2_0_0_bkwd,"('layer3_4_bn2_0_0_bkwd',)",[],40960,40960,589824,0,0,0,call_module,layer3.4.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],BKWD,2497024,188743680.0
54,2,122,layer3_4_relu_0_0_bkwd,"('layer3_4_conv2_0_0_bkwd',)",[],40960,40960,0,0,0,0,call_module,layer3.4.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],BKWD,3351552,163840.0
55,2,121,layer3_4_bn1_0_0_bkwd,"('layer3_4_relu_0_0_bkwd',)",[],40960,40960,512,0,0,0,call_module,layer3.4.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],BKWD,3351552,1478656.0
